"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mfap1b",2240.50352928288,0.316875882246131,0.0581879581910157,5.44572953059998,5.15934839395315e-08,3.86628670271864e-07
"Dzank1",167.293790012564,0.830436463896705,0.152563618506111,5.44321426057052,5.23276425450385e-08,3.89694679574541e-07
"Chn1",598.345394897696,-0.99762883471948,0.184379675784793,-5.41073103894548,6.27679846058927e-08,4.64560577422626e-07
"Scn2a1",454.261644701693,0.550111204808651,0.101973183389277,5.39466540638073,6.86513601165965e-08,5.04987612146008e-07
"Il15ra",247.871933463912,-0.910386402710518,0.169644279421135,-5.36644327658417,8.03044397246675e-08,5.87103800182172e-07
"Mfap1a",2677.66839933489,0.29276117970316,0.0547029843880997,5.35183195172892,8.70682385921214e-08,6.32695867102749e-07
"Pcmtd2",1205.76173974168,0.503911251342765,0.0943089495908162,5.34319652089345,9.13216625585599e-08,6.59606466311526e-07
"1110008F13Rik",983.451705465617,-0.35952281665261,0.0681848787173922,-5.27276462781044,1.3438386449885e-07,9.64827865473777e-07
"Frmd5",59.2374551954594,-1.64781575006623,0.314495783561354,-5.23954798823165,1.6097038491413e-07,1.14883030661929e-06
"Tnks1bp1",7126.22609434169,-0.361223925023214,0.0692390810997233,-5.21705255595395,1.81792691029589e-07,1.28975997955312e-06
"Nxt1",248.403261212722,-0.531350626101235,0.101944659675519,-5.21214772595718,1.86666806168563e-07,1.31655000350652e-06
"Wfdc12",7.52183218079612,-6.03179542163541,1.15919963227318,-5.20341385012961,1.95660477055028e-07,1.36393553481964e-06
"Traf1",93.7167765681966,-1.59309568602794,0.3061292154693,-5.20399754589154,1.95046582627483e-07,1.36393553481964e-06
"1110008P14Rik",300.144684481064,-0.612159025726352,0.118038073072375,-5.18611503723046,2.14726202692817e-07,1.48818911577276e-06
"Grb14",210.797216221537,-0.866989088211892,0.167211796657596,-5.18497561501149,2.16043130690326e-07,1.48871099826265e-06
"Ndufa8",903.740114925368,-0.311127268938458,0.060131022967122,-5.17415559533344,2.28943982664869e-07,1.56859334408673e-06
"Gpr155",666.736781062745,0.625758362726715,0.121008471094873,5.17119468632991,2.32602071645557e-07,1.58460161308536e-06
"Ypel4",107.219353117996,1.26121904604719,0.244854914528618,5.15088311980677,2.59262731604109e-07,1.75624867340863e-06
"Smox",568.222108276743,0.428739766960707,0.0834624499236764,5.1369180673797,2.79280641629971e-07,1.88122185008053e-06
"Bmp7",333.715675024944,0.868594694183345,0.169979798855635,5.10998777520057,3.22179658348202e-07,2.15806374502511e-06
"Shc4",116.070080275018,-1.1449369100038,0.227363145586647,-5.03571899064649,4.76058520838384e-07,3.17107870269568e-06
"Scn7a",11342.4561136139,0.546606279942632,0.109196922365037,5.00569309192952,5.56613834150161e-07,3.68718224942565e-06
"Cd40",1036.04488837029,0.671107117776013,0.135323789936831,4.95926930578346,7.07588195681722e-07,4.66152882759552e-06
"Mrps2",439.684998650029,-0.389617227246867,0.0789512954326387,-4.9349060723049,8.01893415381378e-07,5.25393554667909e-06
"Edf1",2043.61229321759,-0.41998524407686,0.0853036643158133,-4.92341387026448,8.50473181629349e-07,5.54194209116081e-06
"Rin2",4944.87199040187,0.55222756000655,0.112356127001112,4.91497504182468,8.87937706431625e-07,5.75479627033253e-06
"Oip5",24.9070237416412,-1.95274096701332,0.397932832791448,-4.90721248939197,9.23799320014655e-07,5.95502894998695e-06
"Ssrp1",3559.47662875975,-0.378597548705042,0.0772483922679622,-4.90104114260072,9.5330087474503e-07,6.11234090277696e-06
"Spef1",323.461586652152,0.564574008048472,0.11670363540796,4.83767284605057,1.31368132117782e-06,8.37821225580959e-06
"Mavs",1021.95632936581,0.244299691563681,0.0506162794513545,4.82650432255632,1.38950379472913e-06,8.8148944438107e-06
